"CODE","en","hu"
"Vendor_sell_confirm","Sell item ({0})?","Valóban eladod ezt: {0}?"
"Vendor_gold","Gold: {0}","Érmék: {0}"
"Vendor_corruption","Corruption: {0}","Rontás: {0}"
"Vendor_health","Health: {0} / {1}","Életerő: {0}/{1}"
"Vendor_buy_confirm","Buy item ({0}) for {1}g?","Valóban megveszed ezt: {0}, ennyiért: {1}g?"
"Vendor_hp_potion","Healing Potion","Gyógyító főzet"
"Vendor_corruption_remove","Corruption removal","Rontás feloldozás"
"Vendor_cane","Cane of wisdom","Bölcsesség pálcája"
"Vendor_talent","Talent potential","Tehetség potenciál"
,,
"***** DIALOGS *****",,
"Dialog_r1_w1_l1","Hey, I started to worry you wouldn't show up at all. What took you so long?","Végre, azt hittem már sose érsz ide. Mi tartott ennyi ideig?"
"Dialog_r1_w1_l2","Sorry, I got held up by the guards at the city exit. So where is this Witch you were talking about?","Elnézést, az őrök feltartottak a városkapunál. Szóval merre van ez a Boszorkány amit említettél?"
"Dialog_r1_w1_l3","She ... It went deep inside this dungeon of sort but it may know our plan. It started to prepare. Be on your guard!","Hát ... ez az izé lement mélyre a barlangjába, de van egy olyan selytésem, hogy ismeri a tervünket. Vigyázz magadra!"
"Dialog_r1_w1_l4","Will do. Any sign of corruption yet? ...","Rendben úgy lesz. Van már bármi jele a rontásnak?"
"Dialog_r1_w1_l5","<A loud bang shakes the ground>","<Egy hangos dörrenés rázza meg a talajt>"
"Dialog_r1_w1_l6","Nevermind, I'll get started!","Hagyjuk, úgy látom igyekeznem kell!"
"Dialog_r1_w2_l1","Get in there and slay that Witch!","Menj és öld meg azt a Boszorkányt!"
"Dialog_r1_hint_star_name","Talent Star","Tehetség csillag"
"Dialog_r1_hint_star","This is a talent star. You can pick it up to to gain a talent point and be able to choose a talent just like when you would level up.","Ez egy tehetség csillag. Ha felveszed kapsz egy tehetség pontot és választhatsz egy tehetséget pont úgy, mint amikor szintet lépnél."
"Dialog_r1_hint_key_name","Yellow key","Sárga kulcs"
"Dialog_r1_hint_key","This is a yellow key. It opens the yellow door. Now where might that door be ...","Ez egy sárga kulcs, amely a sárga ajtót nyitja. Már csak meg kellene találni ..."
"Dialog_r1_hint_cauldron_name","Cauldron","Üst"
"Dialog_r1_hint_cauldron1","This is a cauldron. It's used by witches to brew potions and soup.","Ez egy üst, amelyet a boszorkányok előszeretettel használnak főzetek készítésére."
"Dialog_r1_hint_cauldron2","Most potions brewed in them are beneficial to you but they also make you slightly more prone to corruption.","A legtöbb főzet valamilyen pozitív hatással van rád, azonban mind egyre érzékenyebbé és kitetté tesz téged a rontásnak."
"Dialog_r1_hint_cauldron3","The exact effects are determined by the ingredient used to brew, for example a potion of the roots of Chaka bush heals you.","A pontos hatások mindig a hozzávalókon múlnak, például a Chaka bokor gyökeréből készített főzet gyógyító hatású."
"Dialog_r1_hint_healing_potion_name","Healing Potion","Gyógyító főzet"
"Dialog_r1_hint_healing_potion","This is a healing potion loot. If you pick it up you instantly drink it healing your current HP.","Ez egy gyógyító főzet. Ha felveszed egyből megiszod és gyógyulni fogsz: az aktuális életerőd megnő."
"Dialog_r1_hint_playersheet_name","Player sheet","Karakterlap"
"Dialog_r1_hint_playersheet","Open your player sheet with your {0} key to get more information or equip gear.","Meg tudod nyitni a karakterlapodat a {0} gombbal. A karakterlapodon több információt találsz a karakteredről, és akár a felszerelésedet is rendezheted."
"Dialog_r1_note_name","Note","Jegyzet"
"Dialog_r1_lever1","You find a hastely scribbled note describing a room on fire with strange vibrant colors.","Egy gyorsan firkált jegyzetet találsz, amely egy lángoló szobáról és furcsa éles fényekről ír."
"Dialog_r1_lever2","You cannot make out most of the text just a small drawing on the bottom, which depicts four colors in a row: yellow, green, green, yellow.","Az írás nagy részét nem tudod kivenni rendesen, de a papír alján egy ábrát látsz - négy szín egy sorban: sárga, zöld, zöld, sárga."
"Dialog_r1_hidden_note","Abandon all hope. Turn around while you can ...","Hagyj fel minden reménnyel! Fordulj vissza, amíg megteheted ..."
,,
"***** Death screen *****",,
"Death_welcome","You have died. Let's see what you have achieved in your short life:","Meghaltál. Lássuk mit tudtál elérni amíg még éltél:"
"Death_name","Death","Halál"
"Death_score","Score: {0}  (Highscore: {1})","Teljesítmény: {0} (Csúcs: {1})"
"Death_playtime","Total time played: {0}m {1}s","Teljes játékidő: {0}p {1}mp"
"Death_xp","Total XP earned: {0}","Összes megszerzett TP: {0}"
"Death_levelup","Total level ups: {0}","Szintlépések száma: {0}"
"Death_talents","Total talent points gained: {0}","Tehetségpontok száma: {0}"
"Death_room","Total levels started: {0}","Megkezdett pályák száma: {0}"
"Death_secret","Secrets found: {0}/{1}","Titkos helyek felfedezve: {0}/{1}"
"Death_healing","Total healing: {0}","Összes gyógyulás: {0}"
"Death_healing_cauldron","Healing from cauldrons: {0}, {1} times","Gyógyulás üstökből: {0}, ennyiszer: {1}"
"Death_healing_potions","Healing from potions: {0}, {1} times","Gyógyulás főzetekből: {0}, ennyiszer: {1}"
"Death_healing_levelup","Healing from leveling up: {0}, {1} times","Gyógyulás szintlépésből: {0}, ennyiszer: {1}"
"Death_healing_lifesteal","Healing from lifesteal: {0}, {1} times","Gyógyulás életszívásból: {0}, ennyiszer: {1}"
"Death_healing_other","Healing from other: {0}, {1} times","Gyógyulás egyéb módon: {0}, ennyiszer: {1}"
"Death_damage","Total damage dealt: {0}","Összes sebzés: {0}"
"Death_damage_enemy","Damage dealt to enemies: {0}, {1} times","Sebzés ellenfelekre: {0}, ennyiszer: {1}"
"Death_damage_crit","Critical hits: {0}, {1}%","Kritikus találatok: {0}, {1}%"
"Death_dmgtaken","Total damage taken: {0}","Összes sérülés: {0}"
"Death_dmgtaken_enemy","Damage dealt by enemies: {0}, {1} times, crits: {2}, {3}%","Sérülés ellenfelektől: {0}, ennyiszer: {1}, kritikus találat: {2}, {3}%"
"Death_dmgtaken_spike","Damage dealt by spikes: {0}, {1} times","Sérülés tüskékből: {0}, ennyiszer: {1}"
"Death_dmgtaken_poisontrap","Damage dealt by poison: {0}, {1} times","Sérülés méregtől: {0}, ennyiszer: {1}"
"Death_dmgtaken_speartrap","Damage dealt by spear: {0}, {1} times","Sérülés lándzsáktól: {0}, ennyiszer: {1}"
"Death_dmgtaken_balltrap","Damage dealt by rolling ball: {0}, {1} times","Sérülés guruló golyótól: {0}, ennyiszer: {1}"
"Death_dmgtaken_tnt","Damage dealt by tnt: {0}, {1} times","Sérülés TNT-től: {0}, ennyiszer: {1}"
"Death_distance","Total distance travelled: {0} units","Teljes megtett táv: {0} egység"
"Death_distance_walk","Distance walked: {0} units, {1}%","Távolság gyalog: {0} egység, {1}%"
"Death_distance_run","Distance ran: {0} units, {1}%","Távolság futva: {0} egység, {1}%"
"Death_corruption","Corruption","Rontás"
"Death_corruption_gain","Total corruption gained: {0}","Összes rontás begyűjtve: {0}"
"Death_corruption_lost","Total corruption lost: {0}","Összes rontás feloldozás: {0}"
"Death_fish","Total fish lured: {0}","Pecázások száma: {0}"
"Death_fish_caught","Total fish caught: {0}","Kifogott halak száma: {0}"
"Death_fish_gotaway","Total fish got away: {0}","Elszalasztott halak száma: {0}"
